,County,HospitalID,MedicareFr,RPR,RER,ERR,penalty,penalty_cap,effectiveness,incentivized
72,Butte,50225,0.524964333,19.5066185,21.42737007,0.910359901,0,0,0,0
73,Orange,50226,0.256793678,22.31527519,22.01771545,1.01351456,1,1,0.038792968,1
74,San Francisco,50228,0.201273412,19.93448257,19.90459824,1.001501378,1,1,0.093989648,1
75,Orange,50230,0.310779423,22.47234726,22.70224953,0.98987315,0,0,0,0
76,Los Angeles,50231,0.206677496,23.34346581,23.93906212,0.975120316,0,0,0,0
77,San Luis Obispo,50232,0.493415505,17.48280144,18.10923576,0.96540802,0,0,0,0
78,Los Angeles,50235,0.420595556,22.62247276,22.22338486,1.017958016,1,1,-0.124693588,1
79,Ventura,50236,0.368891686,22.89021111,22.79942513,1.003981942,1,1,-0.076976865,1
80,Los Angeles,50238,0.471066117,19.48365974,21.7890625,0.894194495,0,0,0,0
81,Los Angeles,50239,0.448460758,24.29512787,22.80913353,1.065149092,1,0,0,0
82,Santa Cruz,50242,0.425733387,16.94325638,18.74527931,0.903867907,0,0,0,0
83,Riverside,50243,0.248880371,19.96706963,20.4469738,0.97652933,0,0,0,0
84,San Bernardino,50245,0.098346017,21.69606209,21.01259804,1.032526394,1,0,0,0
85,El Dorado,50254,0.528377831,21.4587307,21.3063488,1.007151948,1,1,-0.191847867,1
86,Tulare,50261,0.375779301,20.60704422,20.39746094,1.010274969,1,1,-0.12661056,1
87,Los Angeles,50262,0.262513697,22.95664978,22.77725983,1.007875835,1,1,0.047716231,1
88,San Bernardino,50272,0.18563877,20.70374107,20.75984192,0.997297626,0,0,0,0
89,Los Angeles,50278,0.300000161,23.03944588,23.03982735,0.999983443,0,0,0,0
90,Shasta,50280,0.451075703,17.02155495,19.49127579,0.87329096,0,0,0,0
91,Los Angeles,50281,0.498231381,22.92711449,24.7796154,0.925240934,0,0,0,0
92,Alameda,50283,0.379317641,18.78031158,19.4038868,0.967863386,0,0,0,0
93,San Mateo,50289,0.360467583,22.79462051,22.29096985,1.022594381,1,1,-0.079349943,1
94,Los Angeles,50290,0.449219435,21.03054237,21.59162712,0.974013781,0,0,0,0
95,Sonoma,50291,0.329449713,16.30153465,18.71918106,0.870846572,0,0,0,0
96,San Bernardino,50300,0.267950803,22.87187767,21.67035484,1.055445462,1,0,0,0
97,Alameda,50305,0.254037648,20.19015694,20.68787384,0.975941612,0,0,0,0
98,Santa Clara,50308,0.397629619,18.97271347,20.5803566,0.921884583,0,0,0,0
99,Placer,50309,0.334398001,18.56837845,20.88486481,0.889083009,0,0,0,0
100,San Diego,50324,0.304937184,19.60987473,20.36652756,0.962848216,0,0,0,0
101,San Bernardino,50327,0.210276425,22.89609528,22.02906609,1.039358418,1,0,0,0
102,Riverside,50329,0.319760114,23.41534233,22.12532234,1.058305139,1,0,0,0
103,Monterey,50334,0.44455412,20.19343758,20.90639877,0.965897465,0,0,0,0
104,Tuolumne,50335,0.542307317,18.3989048,20.10469437,0.915154663,0,0,0,0
105,San Joaquin,50336,0.461682439,20.09636497,20.45681763,0.982379827,0,0,0,0
106,Imperial,50342,0.298559159,20.91604424,20.5962677,1.015525946,1,1,-0.052090913,1
107,Orange,50348,0.2559506,22.49891853,22.09756851,1.018162633,1,1,0.042164278,1
108,Los Angeles,50351,0.293799162,21.86878204,21.02391052,1.040186221,1,0,0,0
109,Los Angeles,50353,0.323015451,22.78001595,21.61851501,1.053727138,1,0,0,0
110,Tulare,50359,0.304308653,21.3928566,19.33883858,1.106212067,1,0,0,0
111,Marin,50360,0.477453381,19.04902267,19.58335114,0.972715167,0,0,0,0
112,Solano,50367,0.31942451,22.96714783,21.47768593,1.069349273,1,0,0,0
113,Los Angeles,50376,0.078566432,22.49050522,22.20000076,1.013085786,1,1,1.02381717,0
114,Santa Clara,50380,0.352813482,18.46193695,19.96763039,0.924593284,0,0,0,0
115,Riverside,50390,0.333832085,20.88527679,21.92720795,0.952482269,0,0,0,0
116,Los Angeles,50393,0.286617458,23.29040718,23.86846352,0.975781586,0,0,0,0
117,Ventura,50394,0.309838355,18.84838486,20.68929672,0.911021052,0,0,0,0
118,Santa Barbara,50396,0.401541114,17.58143044,19.75196075,0.890110641,0,0,0,0
119,San Francisco,50407,0.31180355,17.64972115,17.13575363,1.029993867,1,1,-0.139536778,1
120,Del Norte,50417,0.408498287,19.72538757,21.03993797,0.937521185,0,0,0,0
121,Orange,50426,0.471464753,23.36526489,22.95467377,1.017887038,1,1,-0.141786654,1
122,Los Angeles,50438,0.376733571,22.49935532,21.803442,1.03191759,1,0,0,0
123,Santa Clara,50441,0.317946017,19.49342537,20.63378906,0.94473319,0,0,0,0
124,Merced,50444,0.400330931,23.67451668,22.71599388,1.042195944,1,0,0,0
125,San Francisco,50454,0.259644985,20.44853973,20.86897278,0.979853678,0,0,0,0
126,Kern,50455,0.256445765,25.03299332,22.90159798,1.093067538,1,0,0,0
127,San Francisco,50457,0.451994181,20.20362663,20.19339371,1.000506746,1,1,-0.175651907,1
128,Stanislaus,50464,0.27006036,20.6071701,21.11828995,0.97579729,0,0,0,0
129,Los Angeles,50471,0.37968111,24.53898048,22.90945816,1.071128802,1,0,0,0
130,Los Angeles,50481,0.458705604,20.69000053,21.41770172,0.966023376,0,0,0,0
131,Los Angeles,50485,0.322100699,23.31301689,22.46129417,1.037919575,1,0,0,0
132,Alameda,50488,0.352689594,22.11745834,22.13152504,0.999364404,0,0,0,0
133,Fresno,50492,0.198368311,17.08893204,18.65744209,0.915931131,0,0,0,0
134,Contra Costa,50496,0.404105753,21.15860176,22.8356266,0.926561032,0,0,0,0
135,Placer,50498,0.413139462,20.50876236,21.0072155,0.976272289,0,0,0,0
136,Los Angeles,50502,0.5606727,20.87688446,22.33758736,0.934607848,0,0,0,0
137,San Diego,50503,0.337127686,19.62107468,20.384161,0.962564742,0,0,0,0
138,San Luis Obispo,50506,0.292372763,18.6656723,18.45134354,1.011615889,1,1,-0.092198439,1
139,Sacramento,50516,0.296244174,20.68548775,19.99577904,1.034492715,1,0,0,0
140,Contra Costa,50523,0.36574775,22.15431786,22.14788055,1.000290651,1,1,-0.086485248,1
141,Orange,50526,0.473789215,25.82136536,25.13204765,1.027427837,1,1,-0.10911583,1
142,Riverside,50534,0.29397279,21.36940956,20.7768631,1.028519534,1,1,-0.042734967,1
143,Ventura,50549,0.504662573,18.97702789,20.65240479,0.918877394,0,0,0,0
144,Orange,50551,0.327636302,18.97268105,20.5368557,0.923835729,0,0,0,0
145,Stanislaus,50557,0.311423033,21.48961449,21.47320175,1.000764336,1,1,-0.047874621,1
146,Orange,50567,0.332201868,19.50798035,20.79642677,0.938044817,0,0,0,0
147,Madera,50568,0.29687044,20.22922325,20.60342407,0.98183793,0,0,0,0
148,Orange,50570,0.288673759,22.01815033,22.17994881,0.992705191,0,0,0,0
149,Riverside,50573,0.540247738,18.51129532,20.79713249,0.89008883,0,0,0,0
150,Orange,50580,0.519095302,23.81569862,23.4474411,1.015705659,1,1,-0.156913697,1
151,Los Angeles,50581,0.267270654,22.22403717,22.9047699,0.97027987,0,0,0,0
152,San Bernardino,50586,0.262771308,23.84112167,24.42663574,0.976029688,0,0,0,0
153,Los Angeles,50588,0.274264991,23.14736938,22.65438652,1.021761033,1,1,0.026273724,1
154,Sacramento,50590,0.272998661,21.28388596,20.92488098,1.017156847,1,1,-0.012134137,1
155,Los Angeles,50597,0.28606832,21.02261925,21.48035622,0.978690439,0,0,0,0
156,Sacramento,50599,0.273345828,22.27928352,22.46205139,0.99186326,0,0,0,0
157,Orange,50603,0.29605341,20.43271828,21.33236313,0.95782723,0,0,0,0
158,Ventura,50616,0.508479238,20.63599968,21.1576004,0.975346887,0,0,0,0
159,Los Angeles,50624,0.343854904,22.52207565,23.04760742,0.97719799,0,0,0,0
160,Los Angeles,50625,0.422688991,23.01341438,23.66030693,0.972659165,0,0,0,0
161,San Luis Obispo,50633,0.399528354,18.50014877,19.31381798,0.957871136,0,0,0,0
162,San Diego,50636,0.337272853,19.17162895,20.91906929,0.916466631,0,0,0,0
163,Orange,50678,0.196355581,21.70801926,21.46368027,1.011383835,1,1,0.153869718,1
164,Riverside,50684,0.344439417,22.85312462,22.265625,1.026385948,1,1,-0.065456472,1
165,Santa Clara,50688,0.370174915,19.29380226,20.30309868,0.950288553,0,0,0,0
166,Contra Costa,50689,0.315931737,20.26415062,19.29150963,1.050418086,1,0,0,0
167,Los Angeles,50696,0.403343678,24.49090958,24.08268356,1.016951019,1,1,-0.081048575,1
168,Riverside,50701,0.216263324,22.19596672,21.41532326,1.036452565,1,0,0,0
169,Los Angeles,50704,0.460636348,24.19623947,23.71240616,1.020404227,1,1,-0.124050485,1
170,San Bernardino,50709,0.340821445,22.27522469,22.33626556,0.997267186,0,0,0,0
171,Kern,50724,0.571384609,21.70783806,21.57097435,1.006344809,1,1,-0.203384581,1
172,Los Angeles,50735,0.214471132,22.54675865,23.11330986,0.975488097,0,0,0,0
173,Los Angeles,50737,0.408450752,24.79515266,23.52199364,1.054126323,1,0,0,0
174,Los Angeles,50739,0.491623372,28.07190895,24.92219162,1.126382036,1,0,0,0
175,Los Angeles,50740,0.331961334,23.47258568,22.33551025,1.050908863,1,0,0,0
176,Los Angeles,50742,0.553057373,30.9314003,26.54471016,1.16525666,1,0,0,0
177,Orange,50744,0.202268317,21.04218864,21.22421837,0.99142349,0,0,0,0
178,Orange,50746,0.150837407,20.37015343,21.2216835,0.959874528,0,0,0,0
179,Los Angeles,50752,0.544773281,25.72557831,24.42788696,1.053123357,1,0,0,0
180,San Diego,50757,0.458329946,20.63543129,21.95641899,0.939835922,0,0,0,0
181,Los Angeles,50761,0.508488178,22.4510746,22.10506248,1.015653071,1,1,-0.172114054,1
182,Shasta,50764,0.520133555,20.10861969,21.7844162,0.923073609,0,0,0,0
