,name,year,rating,vote,length,vote2
101,North by Northwest,1959,8.3,339K,2h 16m,339000
102,Vertigo,1958,8.3,417K,2h 8m,417000
103,Double Indemnity,1944,8.3,164K,1h 47m,164000
104,Le fabuleux destin d'Amélie Poulain,2001,8.3,780K,2h 2m,780000
105,Scarface,1983,8.3,887K,2h 50m,887000
106,Full Metal Jacket,1987,8.3,772K,1h 56m,772000
107,A Clockwork Orange,1971,8.3,862K,2h 16m,862000
108,Incendies,2010,8.3,190K,2h 11m,190000
109,Heat,1995,8.3,695K,2h 50m,695000
110,Up,2009,8.3,1.1M,1h 36m,1100000
111,Hamilton,2020,8.3,107K,2h 40m,107000
112,To Kill a Mockingbird,1962,8.3,327K,2h 9m,327000
113,The Sting,1973,8.3,273K,2h 9m,273000
114,Jodaeiye Nader az Simin,2011,8.3,253K,2h 3m,253000
115,Indiana Jones and the Last Crusade,1989,8.2,793K,2h 7m,793000
116,Metropolis,1927,8.3,181K,2h 33m,181000
117,Die Hard,1988,8.2,914K,2h 12m,914000
118,Taare Zameen Par,2007,8.3,202K,2h 45m,202000
119,Snatch,2000,8.2,888K,1h 44m,888000
120,Ladri di biciclette,1948,8.3,171K,1h 29m,171000
121,L.A. Confidential,1997,8.2,602K,2h 18m,602000
122,Taxi Driver,1976,8.2,888K,1h 54m,888000
123,1917,2019,8.2,644K,1h 59m,644000
124,Downfall,2004,8.2,368K,2h 36m,368000
125,Dangal,2016,8.3,202K,2h 41m,202000
126,Per qualche dollaro in più,1965,8.2,268K,2h 12m,268000
127,Batman Begins,2005,8.2,1.5M,2h 20m,1500000
128,Top Gun: Maverick,2022,8.3,634K,2h 10m,634000
129,Some Like It Hot,1959,8.2,277K,2h 1m,277000
130,The Kid,1921,8.2,132K,1h 8m,132000
131,The Wolf of Wall Street,2013,8.2,1.5M,3h ,1500000
132,The Father,2020,8.2,179K,1h 37m,179000
133,Green Book,2018,8.2,538K,2h 10m,538000
134,All About Eve,1950,8.2,136K,2h 18m,136000
135,Judgment at Nuremberg,1961,8.3,82K,2h 59m,82000
136,The Truman Show,1998,8.2,1.2M,1h 43m,1200000
137,There Will Be Blood,2007,8.2,621K,2h 38m,621000
138,Casino,1995,8.2,547K,2h 58m,547000
139,Ran,1985,8.2,132K,2h 40m,132000
140,Shutter Island,2010,8.2,1.4M,2h 18m,1400000
141,El laberinto del fauno,2006,8.2,690K,1h 58m,690000
142,The Sixth Sense,1999,8.2,1M,1h 47m,1000000
143,Unforgiven,1992,8.2,427K,2h 10m,427000
144,Jurassic Park,1993,8.2,1M,2h 7m,1000000
145,A Beautiful Mind,2001,8.2,965K,2h 15m,965000
146,The Treasure of the Sierra Madre,1948,8.2,130K,2h 6m,130000
147,Yôjinbô,1961,8.2,128K,1h 50m,128000
148,No Country for Old Men,2007,8.2,1M,2h 2m,1000000
149,Kill Bill: Vol. 1,2003,8.2,1.2M,1h 51m,1200000
150,Monty Python and the Holy Grail,1975,8.2,559K,1h 31m,559000
151,The Thing,1982,8.2,449K,1h 49m,449000
152,The Great Escape,1963,8.2,253K,2h 52m,253000
153,Rashômon,1950,8.2,176K,1h 28m,176000
154,Finding Nemo,2003,8.2,1.1M,1h 40m,1100000
155,The Elephant Man,1980,8.2,252K,2h 4m,252000
156,Chinatown,1974,8.2,341K,2h 10m,341000
157,Hauru no ugoku shiro,2004,8.2,426K,1h 59m,426000
158,Gone with the Wind,1939,8.2,327K,3h 58m,327000
159,Dial M for Murder,1954,8.2,184K,1h 45m,184000
160,V for Vendetta,2005,8.2,1.2M,2h 12m,1200000
161,Raging Bull,1980,8.1,370K,2h 9m,370000
