# new cases, moving ave @ 3
2.000000000000000000e+00,nan
0.000000000000000000e+00,nan
3.000000000000000000e+00,1.699999999999999956e+00
3.000000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,6.999999999999999556e-01
2.000000000000000000e+00,1.300000000000000044e+00
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.699999999999999956e+00
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.300000000000000044e+00
4.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00
1.000000000000000000e+00,1.699999999999999956e+00
3.000000000000000000e+00,1.699999999999999956e+00
9.000000000000000000e+00,4.299999999999999822e+00
1.100000000000000000e+01,7.700000000000000178e+00
1.000000000000000000e+00,7.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+00
3.000000000000000000e+00,2.299999999999999822e+00
0.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+00,1.300000000000000044e+00
3.000000000000000000e+00,1.300000000000000044e+00
2.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,2.700000000000000178e+00
0.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,3.700000000000000178e+00
5.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,5.700000000000000178e+00
1.000000000000000000e+00,4.299999999999999822e+00
2.000000000000000000e+00,3.299999999999999822e+00
1.000000000000000000e+00,1.300000000000000044e+00
1.000000000000000000e+00,1.300000000000000044e+00
4.000000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,1.699999999999999956e+00
5.000000000000000000e+00,3.000000000000000000e+00
0.000000000000000000e+00,1.699999999999999956e+00
2.000000000000000000e+00,2.299999999999999822e+00
1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00
5.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000000e+00,4.700000000000000178e+00
5.000000000000000000e+00,4.700000000000000178e+00
6.000000000000000000e+00,4.700000000000000178e+00
5.000000000000000000e+00,5.299999999999999822e+00
1.000000000000000000e+01,7.000000000000000000e+00
7.000000000000000000e+00,7.299999999999999822e+00
1.900000000000000000e+01,1.200000000000000000e+01
2.700000000000000000e+01,1.769999999999999929e+01
4.800000000000000000e+01,3.130000000000000071e+01
1.700000000000000000e+01,3.069999999999999929e+01
4.400000000000000000e+01,3.629999999999999716e+01
3.400000000000000000e+01,3.169999999999999929e+01
3.100000000000000000e+01,3.629999999999999716e+01
2.500000000000000000e+01,3.000000000000000000e+01
4.500000000000000000e+01,3.370000000000000284e+01
4.200000000000000000e+01,3.729999999999999716e+01
3.200000000000000000e+01,3.970000000000000284e+01
5.100000000000000000e+01,4.170000000000000284e+01
4.600000000000000000e+01,4.300000000000000000e+01
5.700000000000000000e+01,5.129999999999999716e+01
5.700000000000000000e+01,5.329999999999999716e+01
4.700000000000000000e+01,5.370000000000000284e+01
4.700000000000000000e+01,5.029999999999999716e+01
2.200000000000000000e+01,3.870000000000000284e+01
2.900000000000000000e+01,3.270000000000000284e+01
3.200000000000000000e+01,2.769999999999999929e+01
2.100000000000000000e+01,2.730000000000000071e+01
2.500000000000000000e+01,2.600000000000000000e+01
1.300000000000000000e+01,1.969999999999999929e+01
1.600000000000000000e+01,1.800000000000000000e+01
1.100000000000000000e+01,1.330000000000000071e+01
4.000000000000000000e+00,1.030000000000000071e+01
5.000000000000000000e+00,6.700000000000000178e+00
3.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00
4.000000000000000000e+00,3.000000000000000000e+00
2.000000000000000000e+00,2.299999999999999822e+00
2.000000000000000000e+00,2.700000000000000178e+00
0.000000000000000000e+00,1.300000000000000044e+00
4.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,2.700000000000000178e+00
2.000000000000000000e+00,3.299999999999999822e+00
0.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,1.300000000000000044e+00
0.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,0.000000000000000000e+00
