individual,baseDate,branchID_16,branchID_26,branchID_222,ct,productID,r_info1_11,r_info1_113_276,r_info1_111_126,r_info3_1,r_info3_23,r_info3_4567,common_info1_0,mode,noStock,noDisplay,noSold
2,2005/1/12,1,0,0,329,76531,0,1,0,1,0,0,1,0,0,0,0
2,2005/1/12,1,0,0,329,76538,0,1,0,1,0,0,1,0,0,0,0
2,2005/1/12,1,0,0,329,77980,0,0,0,0,1,0,0,0,1,0,0
2,2005/1/12,1,0,0,329,78897,0,0,0,0,1,0,1,0,2,0,0
2,2005/1/12,1,0,0,329,79691,0,0,0,0,1,0,1,0,1,0,0
2,2005/1/12,1,0,0,329,79698,0,0,0,0,1,0,1,0,2,0,0
3,2005/1/17,1,0,0,321,213,0,0,1,0,1,0,0,0,2,1,0
3,2005/1/17,1,0,0,321,290,0,0,1,0,0,1,0,0,1,0,0
3,2005/1/17,1,0,0,321,6204,0,0,0,0,0,1,0,0,2,2,0
3,2005/1/17,1,0,0,321,6605,0,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,6713,0,0,1,0,0,1,0,0,2,1,0
3,2005/1/17,1,0,0,321,70565,1,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70567,1,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70620,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70624,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70626,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70643,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70645,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,70647,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,73053,0,0,0,0,0,1,0,1,2,0,1
3,2005/1/17,1,0,0,321,73798,0,0,1,0,0,1,0,0,1,0,0
3,2005/1/17,1,0,0,321,74020,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74021,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74022,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74023,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74024,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74026,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74028,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74029,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74430,1,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74493,1,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74495,1,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,74497,1,0,0,0,1,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,75393,0,0,1,0,0,1,0,0,2,0,0
3,2005/1/17,1,0,0,321,75601,0,0,0,0,1,0,1,0,1,0,0
3,2005/1/17,1,0,0,321,76531,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,76538,0,1,0,1,0,0,1,0,0,0,0
3,2005/1/17,1,0,0,321,77980,0,0,0,0,1,0,0,0,2,0,0
3,2005/1/17,1,0,0,321,78897,0,0,0,0,1,0,1,0,2,0,0
3,2005/1/17,1,0,0,321,79691,0,0,0,0,1,0,1,0,1,0,0
3,2005/1/17,1,0,0,321,79698,0,0,0,0,1,0,1,0,2,0,0
4,2005/1/21,1,0,0,324,213,0,0,1,0,1,0,0,0,2,1,0
4,2005/1/21,1,0,0,324,290,0,0,1,0,0,1,0,0,1,0,0
4,2005/1/21,1,0,0,324,6204,0,0,0,0,0,1,0,0,2,2,0
4,2005/1/21,1,0,0,324,6605,0,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,6713,0,0,1,0,0,1,0,0,2,1,0
4,2005/1/21,1,0,0,324,70565,1,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70567,1,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70620,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70624,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70626,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70643,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70645,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,70647,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,73053,0,0,0,0,0,1,0,0,2,0,0
4,2005/1/21,1,0,0,324,73798,0,0,1,0,0,1,0,0,1,0,0
4,2005/1/21,1,0,0,324,74020,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74021,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74022,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74023,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74024,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74026,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74028,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74029,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74430,1,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74493,1,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74495,1,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,74497,1,0,0,0,1,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,75393,0,0,1,0,0,1,0,0,2,0,0
4,2005/1/21,1,0,0,324,75601,0,0,0,0,1,0,1,0,1,0,0
4,2005/1/21,1,0,0,324,76531,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,76538,0,1,0,1,0,0,1,0,0,0,0
4,2005/1/21,1,0,0,324,77980,0,0,0,0,1,0,0,1,1,0,1
4,2005/1/21,1,0,0,324,78897,0,0,0,0,1,0,1,0,2,0,0
4,2005/1/21,1,0,0,324,79691,0,0,0,0,1,0,1,0,1,0,0
4,2005/1/21,1,0,0,324,79698,0,0,0,0,1,0,1,0,2,0,0
5,2005/2/2,0,0,1,836,213,0,0,1,0,1,0,0,0,0,0,0
5,2005/2/2,0,0,1,836,290,0,0,1,0,0,1,0,0,2,0,0
5,2005/2/2,0,0,1,836,6204,0,0,0,0,0,1,0,0,2,0,0
5,2005/2/2,0,0,1,836,6605,0,0,0,0,1,0,1,0,1,0,0
5,2005/2/2,0,0,1,836,6713,0,0,1,0,0,1,0,0,1,0,0
5,2005/2/2,0,0,1,836,70565,1,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70567,1,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70620,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70624,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70626,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70643,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70645,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,70647,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,73053,0,0,0,0,0,1,0,0,1,0,0
5,2005/2/2,0,0,1,836,73798,0,0,1,0,0,1,0,0,1,1,0
5,2005/2/2,0,0,1,836,74020,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74021,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74022,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74023,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74024,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74026,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74028,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74029,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74430,1,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74493,1,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74495,1,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,74497,1,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,75393,0,0,1,0,0,1,0,0,1,0,0
5,2005/2/2,0,0,1,836,75601,0,0,0,0,1,0,1,0,1,0,0
5,2005/2/2,0,0,1,836,76531,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,76538,0,1,0,1,0,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,77980,0,0,0,0,1,0,0,1,1,0,1
5,2005/2/2,0,0,1,836,78897,0,0,0,0,1,0,1,0,1,0,0
5,2005/2/2,0,0,1,836,79691,0,0,0,0,1,0,1,0,0,0,0
5,2005/2/2,0,0,1,836,79698,0,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,213,0,0,1,0,1,0,0,0,2,0,0
6,2005/3/1,0,1,0,624,290,0,0,1,0,0,1,0,0,2,0,0
6,2005/3/1,0,1,0,624,6204,0,0,0,0,0,1,0,0,2,1,0
6,2005/3/1,0,1,0,624,6605,0,0,0,0,1,0,1,0,2,0,0
6,2005/3/1,0,1,0,624,6713,0,0,1,0,0,1,0,0,2,1,0
6,2005/3/1,0,1,0,624,70565,1,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70567,1,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70620,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70624,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70626,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70643,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70645,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,70647,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,73053,0,0,0,0,0,1,0,0,2,0,0
6,2005/3/1,0,1,0,624,73798,0,0,1,0,0,1,0,0,1,0,0
6,2005/3/1,0,1,0,624,74020,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74021,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74022,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74023,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74024,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74026,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74028,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74029,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74430,1,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74493,1,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74495,1,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,74497,1,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,75393,0,0,1,0,0,1,0,0,2,0,0
6,2005/3/1,0,1,0,624,75601,0,0,0,0,1,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,76531,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,76538,0,1,0,1,0,0,1,0,0,0,0
6,2005/3/1,0,1,0,624,77980,0,0,0,0,1,0,0,0,2,0,0
6,2005/3/1,0,1,0,624,78897,0,0,0,0,1,0,1,0,1,0,0
6,2005/3/1,0,1,0,624,79691,0,0,0,0,1,0,1,1,1,0,1
6,2005/3/1,0,1,0,624,79698,0,0,0,0,1,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,213,0,0,1,0,1,0,0,0,1,0,0
7,2005/3/12,0,1,0,295,290,0,0,1,0,0,1,0,0,1,0,0
7,2005/3/12,0,1,0,295,6204,0,0,0,0,0,1,0,0,2,1,0
7,2005/3/12,0,1,0,295,6605,0,0,0,0,1,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,6713,0,0,1,0,0,1,0,0,2,1,0
7,2005/3/12,0,1,0,295,70565,1,0,0,0,1,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,70567,1,0,0,0,1,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,70620,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,70624,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,70626,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,70643,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,70645,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,70647,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,73053,0,0,0,0,0,1,0,0,2,0,0
7,2005/3/12,0,1,0,295,73798,0,0,1,0,0,1,0,0,1,0,0
7,2005/3/12,0,1,0,295,74020,0,1,0,1,0,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,74021,0,1,0,1,0,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,74022,0,1,0,1,0,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,74023,0,1,0,1,0,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,74024,0,1,0,1,0,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,74026,0,1,0,1,0,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,74028,0,1,0,1,0,0,1,0,3,0,0
7,2005/3/12,0,1,0,295,74029,0,1,0,1,0,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,74430,1,0,0,0,1,0,1,0,3,0,0
7,2005/3/12,0,1,0,295,74493,1,0,0,0,1,0,1,0,2,0,0
7,2005/3/12,0,1,0,295,74495,1,0,0,0,1,0,1,1,1,0,1
7,2005/3/12,0,1,0,295,74497,1,0,0,0,1,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,75393,0,0,1,0,0,1,0,0,1,0,0
7,2005/3/12,0,1,0,295,75601,0,0,0,0,1,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,76531,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,76538,0,1,0,1,0,0,1,0,0,0,0
7,2005/3/12,0,1,0,295,77980,0,0,0,0,1,0,0,0,2,0,0
7,2005/3/12,0,1,0,295,78897,0,0,0,0,1,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,79691,0,0,0,0,1,0,1,0,1,0,0
7,2005/3/12,0,1,0,295,79698,0,0,0,0,1,0,1,0,2,0,0
8,2005/4/1,0,1,0,683,213,0,0,1,0,1,0,0,0,2,0,0
8,2005/4/1,0,1,0,683,290,0,0,1,0,0,1,0,0,2,0,0
8,2005/4/1,0,1,0,683,6204,0,0,0,0,0,1,0,0,2,1,0
8,2005/4/1,0,1,0,683,6605,0,0,0,0,1,0,1,1,1,0,1
8,2005/4/1,0,1,0,683,6713,0,0,1,0,0,1,0,0,2,1,0
8,2005/4/1,0,1,0,683,70565,1,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70567,1,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70620,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70624,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70626,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70643,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70645,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,70647,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,73053,0,0,0,0,0,1,0,0,2,0,0
8,2005/4/1,0,1,0,683,73798,0,0,1,0,0,1,0,0,1,0,0
8,2005/4/1,0,1,0,683,74020,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74021,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74022,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74023,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74024,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74026,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74028,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74029,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74430,1,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74493,1,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74495,1,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,74497,1,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,75393,0,0,1,0,0,1,0,0,2,0,0
8,2005/4/1,0,1,0,683,75601,0,0,0,0,1,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,76531,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,76538,0,1,0,1,0,0,1,0,0,0,0
8,2005/4/1,0,1,0,683,77980,0,0,0,0,1,0,0,0,2,0,0
8,2005/4/1,0,1,0,683,78897,0,0,0,0,1,0,1,0,1,0,0
8,2005/4/1,0,1,0,683,79691,0,0,0,0,1,0,1,0,1,0,0
8,2005/4/1,0,1,0,683,79698,0,0,0,0,1,0,1,0,2,0,0
9,2005/4/12,0,1,0,258,213,0,0,1,0,1,0,0,0,1,0,0
9,2005/4/12,0,1,0,258,290,0,0,1,0,0,1,0,0,1,0,0
9,2005/4/12,0,1,0,258,6204,0,0,0,0,0,1,0,0,2,1,0
9,2005/4/12,0,1,0,258,6605,0,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,6713,0,0,1,0,0,1,0,0,2,1,0
9,2005/4/12,0,1,0,258,70565,1,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,70567,1,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,70620,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,70624,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,70626,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,70643,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,70645,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,70647,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,73053,0,0,0,0,0,1,0,0,2,0,0
9,2005/4/12,0,1,0,258,73798,0,0,1,0,0,1,0,0,1,0,0
9,2005/4/12,0,1,0,258,74020,0,1,0,1,0,0,1,1,1,0,1
9,2005/4/12,0,1,0,258,74021,0,1,0,1,0,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,74022,0,1,0,1,0,0,1,0,2,0,0
9,2005/4/12,0,1,0,258,74023,0,1,0,1,0,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,74024,0,1,0,1,0,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,74026,0,1,0,1,0,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,74028,0,1,0,1,0,0,1,0,2,0,0
9,2005/4/12,0,1,0,258,74029,0,1,0,1,0,0,1,0,2,0,0
9,2005/4/12,0,1,0,258,74430,1,0,0,0,1,0,1,0,3,0,0
9,2005/4/12,0,1,0,258,74493,1,0,0,0,1,0,1,0,2,0,0
9,2005/4/12,0,1,0,258,74495,1,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,74497,1,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,75393,0,0,1,0,0,1,0,0,1,0,0
9,2005/4/12,0,1,0,258,75601,0,0,0,0,1,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,76531,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,76538,0,1,0,1,0,0,1,0,0,0,0
9,2005/4/12,0,1,0,258,77980,0,0,0,0,1,0,0,0,2,0,0
9,2005/4/12,0,1,0,258,78897,0,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,79691,0,0,0,0,1,0,1,0,1,0,0
9,2005/4/12,0,1,0,258,79698,0,0,0,0,1,0,1,0,2,0,0
10,2005/4/12,0,1,0,258,213,0,0,1,0,1,0,0,0,1,0,0
10,2005/4/12,0,1,0,258,290,0,0,1,0,0,1,0,0,1,0,0
10,2005/4/12,0,1,0,258,6204,0,0,0,0,0,1,0,0,2,1,0
10,2005/4/12,0,1,0,258,6605,0,0,0,0,1,0,1,0,1,0,0
10,2005/4/12,0,1,0,258,6713,0,0,1,0,0,1,0,0,2,1,0
10,2005/4/12,0,1,0,258,70565,1,0,0,0,1,0,1,0,1,0,0
10,2005/4/12,0,1,0,258,70567,1,0,0,0,1,0,1,0,1,0,0
10,2005/4/12,0,1,0,258,70620,0,1,0,1,0,0,1,0,0,0,0
10,2005/4/12,0,1,0,258,70624,0,1,0,1,0,0,1,0,0,0,0
10,2005/4/12,0,1,0,258,70626,0,1,0,1,0,0,1,0,0,0,0
10,2005/4/12,0,1,0,258,70643,0,1,0,1,0,0,1,0,0,0,0
10,2005/4/12,0,1,0,258,70645,0,1,0,1,0,0,1,0,0,0,0
10,2005/4/12,0,1,0,258,70647,0,1,0,1,0,0,1,0,0,0,0
