"MPG.City","Weight","Horsepower","Wheelbase","Price","Torque..foot.lbs..","Displacement..cu.in..","Pounds.HP","Cargo.Volume..EPA.","Passenger.Volume..EPA.","Fuel.Capacity","Combined.Fuel.Economy","Cylinders","Seating..Standard.","Transmission.Speeds","Transmission..Automatic.Manual.","Height","Length","Width","Track..Front.","Track..Rear.","Curb.Weight.AT","Curb.Weight.MT","MPG.Highway","Sales.Volume","Model","Model.Year","Type"
19,3.418,200,109,24235,225,231,17.09,17,102,17,23,6,5,"4","A",56.6,196.2,72.7,62,61.3,3418,NA,29,NA,"2004.Buick.Regal.LS.Current",2004,"Car/Sedan"
20,3.567,205,112.2,25745,230,231,17.4,18,107,18,23,6,6,"4","A",57,200,73.5,62.3,62.3,3567,NA,29,NA,"2004.Buick.LeSabre.Custom.Current",2004,"Car/Sedan"
19,4.024,185,112.2,25895,210,204,21.7513514,NA,NA,18,22,6,5,"4","A",68.9,186.5,73.6,62.7,63.8,4024,NA,26,NA,"2004.Buick.Rendezvous.FWD.CX.Current",2004,"SUV"
20,3.778,205,113.8,34750,230,231,18.4292683,19,111,18,23,6,6,"4","A",57.4,206.8,74.7,62.7,62.3,3778,NA,29,NA,"2004.Buick.Park.Avenue.Sedan.Current",2004,"Car/Sedan"
17,3.647,320,105.7,75385,310,279,11.396875,NA,NA,18,21,8,2,"5","A",50.4,177.7,72.3,62.2,62.2,3647,NA,25,NA,"2004.Cadillac.XLR.Convertible.Current",2004,"Car/Sedan"
18,4.164,260,116.4,37995,252,217,16.0153846,NA,NA,20,21,6,5,"5","A",67.8,194.9,72.6,61.9,62.2,4164,NA,23,NA,"2004.Cadillac.SRX.V6.Current",2004,"Car/Sedan"
18,3.5385,220,113.4,30140,220,194,16.0840909,13,100,17.5,22,6,5,"5","M",56.7,190.1,70.6,60.3,60,3568,3509,26,NA,"2004.Cadillac.CTS.Sedan.Current",2004,"Sports.Car"
18,3.978,275,115.3,44650,300,279,14.4654545,19,115,18.5,21,8,6,"4","A",56.7,207.2,74.5,62.7,62.2,3978,NA,27,NA,"2004.Cadillac.DeVille.Sedan.Current",2004,"Car/Sedan"
18,3.969,275,112.2,45535,300,279,14.4327273,15,104,18.5,21,8,5,"4","A",55.7,201,75,62.7,62.9,3969,NA,27,NA,"2004.Cadillac.Seville.SLS.Current",2004,"Car/Sedan"
14,5.367,285,116,51980,325,327,18.8315789,NA,NA,26,15,8,7,"4","A",76.5,198.9,78.9,65,66,5367,NA,18,NA,"2004.Cadillac.Escalade.2WD.Current",2004,"SUV"
26,2.617,140,104.1,14045,150,134,18.6928571,13,87,14.1,29,4,5,"5","M",53,180.9,68.7,57.6,56.4,NA,2617,33,NA,"2004.Chevrolet.Cavalier.Coupe.Current",2004,"Car/Sedan"
23,3.174,145,106.3,18370,155,134,21.8896552,NA,NA,16.6,27,4,5,"4","A",57.5,188.3,69.9,60,59.3,3174,NA,33,NA,"2004.Chevrolet.Malibu.Sedan.Current",2004,"Car/Sedan"
21,3.389,180,110.5,21240,205,205,18.8277778,18,105,17,25,6,6,"4","A",57.3,200,73,62,61.1,3389,NA,32,NA,"2004.Chevrolet.Impala.Sedan.Current",2004,"Car/Sedan"
21,3.34,180,110.5,21165,205,207,18.5555556,16,98,17,26,6,5,"4","A",55.2,197.9,72.3,62,61.4,3340,NA,32,NA,"2004.Chevrolet.Monte.Carlo.LS.Current",2004,"Car/Sedan"
18,3.214,350,104.5,43735,360,350,9.18285714,NA,NA,18,21,8,2,"4","A",47.7,179.7,73.6,61.9,62,3214,NA,25,NA,"2004.Chevrolet.Corvette.Coupe.Current",2004,"Sports.Car"
19,2.906,165,97.6,19780,162,152,17.6121212,NA,NA,16,20,6,5,"4","A",65.6,162.6,67.3,57.5,57.5,2906,NA,21,NA,"2004.Chevrolet.Tracker.Base.2WD.Current",2004,"Car/Sedan"
16,4.425,275,113,27145,275,256,16.0909091,NA,NA,22,18,6,5,"4","A",74.5,191.8,74.6,63.1,62.1,4425,NA,22,NA,"2004.Chevrolet.TrailBlazer.LS.2WD.Current",2004,"SUV"
15,3.611,190,100.5,20745,250,262,19.0052632,NA,NA,18.7,18,6,4,"5","M",65.2,177.3,67.8,55,54.6,NA,3611,21,NA,"2004.Chevrolet.Blazer.2-Door.2WD.LS.Current",2004,"SUV"
14,4.828,285,116,34200,295,294,16.9403509,NA,NA,26,16,8,6,"4","A",76.5,196.9,78.9,65,66,4828,NA,18,NA,"2004.Chevrolet.Tahoe.2WD.Current",2004,"SUV"
14,5.323,295,130,37050,330,327,18.0440678,NA,NA,31,15,8,9,"4","A",75.6,219.3,78.8,65,66,5323,NA,18,NA,"2004.Chevrolet.Suburban.1500.2WD.Current",2004,"SUV"
19,3.699,185,112,21315,210,207,19.9945946,NA,NA,20,22,6,7,"4","A",67.4,186.9,72,61.5,63.3,3699,NA,26,NA,"2004.Chevrolet.Venture.Regular.Wheelbase.Plus.Current",2004,"Van"
16,4.321,190,111.2,23690,250,262,22.7421053,NA,NA,27,17,6,8,"4","A",75,189.8,77.5,65.1,65.1,4321,NA,20,NA,"2004.Chevrolet.Astro.Passenger.Van.Rear.Wheel.Drive.Current",2004,"Van"
15,5.245,200,135,25045,250,262,26.225,NA,NA,31,17,6,8,"4","A",81.6,224.1,79.4,67.8,67.8,5245,NA,20,NA,"2004.Chevrolet.Express.Passenger.Van.1500.Regular.Wheelbase.Current",2004,"Van"
22,2.972,120,108.3,14770,140,134,24.7666667,NA,NA,18,24,4,3,"5","M",62,190,67.9,54.4,54.6,2990,2954,28,150992,"2003.Chevrolet.Truck.S-10.Regular.Cab.Short.Box.2WD.Current",2003,"Truck"
21,3.149,150,103,16980,162,148,20.9933333,NA,NA,15,24,4,5,"5","M",63,168.8,67.1,58.3,58.2,3190,3108,29,138260,"2003.Chrysler.PT.Cruiser.Base.Current",2003,"Car/Sedan"
21,3.869,150,113.3,20750,167,148,25.7933333,NA,NA,20,23,4,7,"4","A",68.9,189.1,78.6,63,64,3869,NA,27,37392,"2003.Chrysler.Voyager.Base.Current",2003,"Van"
21,3.201,200,108,19850,190,167,16.005,16,94,16,23,6,5,"4","A",54.9,190.7,70.6,60.2,60.2,3201,NA,28,NA,"2004.Chrysler.Sebring.Sedan.LX.[Pre.August.Production].Current",2004,"Car/Sedan"
21,3.479,200,113,23480,190,167,17.395,19,107,17,24,6,5,"4","A",55.9,207.7,74.4,61.9,61.6,3479,NA,29,NA,"2004.Chrysler.Concorde.LX.Current",2004,"Car/Sedan"
17,4.482,250,116.3,30550,250,215,17.928,NA,NA,23,NA,6,6,"4","A",66.5,198.9,79.3,66,66,4482,NA,22,NA,"2004.Chrysler.Pacifica.FWD.Current",2004,"SUV"
18,3.581,250,113,29185,255,215,14.324,17,105,17,21,6,5,"4","A",56,197.8,74.4,61.9,61.6,3581,NA,27,NA,"2004.Chrysler.300M.Sedan.Current",2004,"Car/Sedan"
18,3.072,215,94.5,33620,229,195,14.2883721,NA,NA,15.9,NA,6,2,"6","M",51.4,159.8,69.5,58.3,58.2,3084,3060,27,NA,"2004.Chrysler.Crossfire.Coupe.Current",2004,"Car/Sedan"
29,2.608,132,105,12935,130,122,19.7575758,13,90,12.5,32,4,5,"5","M",56,174.4,67.4,58,58,2635,2581,36,126118,"2003.Dodge.Neon.SE.Current",2003,"Car/Sedan"
21,3.469,200,113,21385,190,167,17.345,NA,NA,17,24,6,5,"4","A",55.9,203.7,74.7,62.4,62,3469,NA,29,NA,"2004.Dodge.Intrepid.SE.Current",2004,"Car/Sedan"
21,3.869,150,113.3,20430,167,148,25.7933333,NA,NA,20,23,4,7,"4","A",68.9,189.3,78.6,63,64,3869,NA,27,244911,"2003.Dodge.Caravan.SE.Current",2003,"Van"
14,4.379,235,116,26875,295,287,18.6340426,NA,NA,25,16,8,5,"5","A",70.5,193.5,71.3,60.9,61.9,4379,NA,19,106925,"2003.Dodge.Durango.Sport.4X2.Current",2003,"Truck"
15,3.512,175,111.9,16635,225,239,20.0685714,NA,NA,20,17,6,3,"5","M",64.7,196,71.6,60.9,61.5,3635,3389,21,130712,"2003.Dodge.Truck.Dakota.Regular.Cab.4X2.Base.Current",2003,"Truck"
26,2.4895,130,98.4,13205,127,121,19.15,16,80,12.7,29,4,4,"5","M",52.3,175.2,67.4,56.5,56.5,2501,2478,33,51857,"2003.Ford.ZX2.Standard.Current",2003,"Car/Sedan"
26,2.551,130,103,12820,135,121,19.6230769,21,95,13.2,29,4,5,"5","M",56.3,168.1,66.9,58.8,58.5,NA,2551,34,243199,"2003.Ford.Focus.ZX3.-.100A.Current",2003,"Car/Sedan"
20,3.336,155,108.5,19630,186,182,21.5225806,17,105,18,23,6,6,"4","A",56.1,197.6,73,61.6,62.1,3336,NA,28,332690,"2003.Ford.Taurus.LX.Standard.Sedan.-.100A.Current",2003,"Car/Sedan"
21,2.75,170,103,18590,145,121,16.1764706,21,95,13.2,NA,4,5,"6","M",56.3,168.1,66.9,58.8,58.5,NA,2750,28,NA,"2004.Ford.SVT.Focus.3-Door.Current",2004,"Sports.Car"
20,3.29,190,101.3,17720,220,232,17.3157895,11,82,15.7,NA,6,4,"5","M",53.1,183.2,73.1,59.9,60.1,NA,3290,29,NA,"2004.Ford.Mustang.Standard.Coupe.Current",2004,"Car/Sedan"
16,3.665,390,101.3,33575,390,280,9.3974359,11,82,15.7,21,8,4,"6","M",52.5,183.5,73.1,60.3,60.3,NA,3665,22,NA,"2004.Ford.SVT.Mustang.Cobra.Coupe.Current",2004,"Sports.Car"
17,4.057,224,114.7,23620,265,281,18.1116071,21,111,19,NA,8,6,"4","A",58.3,212,78.2,63.4,65.6,4057,NA,25,79716,"2004.Ford.Crown.Victoria.Standard.Current",2004,"Car/Sedan"
17,3.775,280,107.2,36925,286,240,13.4821429,8,52,18,NA,8,2,"5","A",52.1,186.3,72,60.5,60.2,3775,NA,23,NA,"2004.Ford.Thunderbird.Deluxe.Current",2004,"Car/Sedan"
17,4.017,200,120.7,23070,240,232,20.085,NA,NA,26,20,6,7,"4","A",66.1,201.5,76.6,64.3,63,4017,NA,23,148875,"2003.Ford.Windstar.Wagon.Base.Current",2003,"Van"
23,3.019,127,103.1,18710,135,121,23.7716535,NA,NA,16,25,4,5,"5","M",69.1,173,70.1,61.2,61,NA,3019,28,NA,"2004.Ford.Escape.XLS.4X2.Value.Current",2004,"SUV"
